3783	24186
646	1	12
57	1	12
4	1	12
1155	1	12
552	1	12
169	1	12
92	1	12
144	1	12
1522	1	12
349	1	12
88	1	12
76	1	12
1784	1	12
165	1	12
488	1	12
24	1	12
160	1	12
1474	1	12
82	1	12
116	1	12
145	1	12
276	1	12
69	1	12
1486	1	12
66	1	12
174	1	12
269	1	12
586	1	12
870	1	12
388	1	12
543	1	12
2630	1	12
671	1	12
136	1	12
423	1	12
64	1	12
1692	1	12
474	1	12
34	1	12
448	1	12
1997	1	12
1976	1	12
914	1	12
62	1	12
1956	1	12
1634	1	12
507	1	12
2498	1	12
2496	1	12
298	1	12
1224	1	12
1231	1	12
237	1	12
2487	1	12
1935	1	12
381	1	12
354	1	12
1089	1	12
1221	1	12
20	1	12
563	1	12
2458	1	12
773	1	12
208	1	12
1921	1	12
503	1	12
986	1	12
2445	1	12
985	1	12
1602	1	12
378	1	12
445	1	12
435	1	12
511	1	12
1	36	21
1	37	20
1	167	20
1	3	20
1	19	19
1	766	19
1	22	19
1	39	19
1	90	19
1	112	19
1	53	19
1	107	18
1	468	18
1	249	18
1	270	18
1	470	18
1	184	17
1	187	17
1	30	17
1	311	17
1	73	17
1	118	17
1	7	16
1	380	16
1	222	16
1	256	16
1	46	16
1	16	16
1	8	16
1	149	16
1	3578	16
1	262	16
1	41	16
1	108	16
1	488	15
1	144	15
1	106	15
1	21	15
1	472	15
1	98	15
1	164	14
1	23	14
1	6	14
1	188	14
1	786	14
1	263	14
1	65	14
1	561	14
1	269	14
1	870	14
1	14	14
1	136	14
1	74	14
1	352	14
1	20	14
1	657	14
1	44	14
1	120	14
1	9	14
1	163	13
1	1379	13
1	2403	13
1	1690	13
1	13	13
1	12	13
1	138	13
1	205	13
1	18	13
1	317	13
1	560	13
1	50	13
1	89	13
1	240	13
1	1493	13
1	76	13
1	132	13
1	69	13
1	210	13
1	680	13
1	271	13
1	861	13
1	139	13
1	216	13
1	181	13
1	250	13
1	1097	13
1	105	13
1	502	13
1	1408	13
1	445	13
1	768	13
1	1208	13
1	916	13
1	709	13
1	1631	13
1	2005	13
1	2697	12
1	1126	12
1	646	12
1	125	12
1	42	12
1	241	12
1	86	12
1	4	12
1	110	12
1	1155	12
1	15	12
1	411	12
1	3464	12
1	94	12
1	84	12
1	2	12
1	218	12
1	92	12
1	17	12
1	349	12
1	267	12
1	88	12
1	1784	12
1	305	12
1	24	12
1	160	12
1	51	12
1	96	12
1	82	12
1	116	12
1	145	12
1	2838	12
1	1486	12
1	66	12
1	174	12
1	586	12
1	1474	12
1	1708	12
1	671	12
1	38	12
1	423	12
1	1692	12
1	34	12
1	448	12
1	1997	12
1	1928	12
1	1976	12
1	235	12
1	776	12
1	62	12
1	1956	12
1	1634	12
1	914	12
1	64	12
1	507	12
1	2498	12
1	2496	12
1	298	12
1	1420	12
1	1224	12
1	1231	12
1	2487	12
1	1935	12
1	381	12
1	354	12
1	237	12
1	1089	12
1	1221	12
1	563	12
1	2458	12
1	773	12
1	419	12
1	236	12
1	208	12
1	1921	12
1	531	12
1	503	12
1	3579	12
1	986	12
1	2445	12
1	199	12
1	43	12
1	985	12
1	147	12
1	1602	12
1	378	12
1	435	12
1	511	12
1	401	12
1	10	6
1	3686	6
1	3730	6
1	3678	1
1	3660	1
1	3761	1
1	797	1
1	3755	1
1	3781	1
970	2	21
91	2	21
3514	2	21
4	2	19
1544	2	19
102	2	19
206	2	18
42	2	18
5	2	18
3558	2	17
332	2	17
286	2	17
753	2	17
25	2	16
33	2	16
524	2	16
544	2	16
55	2	16
1848	2	16
556	2	16
207	2	16
1557	2	16
2345	2	16
973	2	16
261	2	16
2000	2	16
141	2	16
814	2	16
119	2	16
491	2	16
1174	2	16
31	2	16
258	2	16
176	2	16
171	2	16
1346	2	16
1337	2	16
104	2	15
890	2	15
817	2	15
889	2	15
346	2	15
92	2	15
1361	2	15
1546	2	15
350	2	15
41	2	15
122	2	15
112	2	15
1055	2	15
2279	2	15
878	2	15
35	2	15
589	2	14
3253	2	14
290	2	14
3259	2	14
1173	2	14
3197	2	14
459	2	14
3199	2	14
29	2	14
588	2	14
114	2	14
432	2	14
80	2	14
3687	2	14
972	2	14
1554	2	14
2333	2	14
3153	2	14
3773	2	14
243	2	14
1360	2	14
2330	2	14
1060	2	14
20	2	14
1355	2	14
508	2	14
968	2	14
196	2	14
492	2	14
123	2	14
620	2	14
1035	2	14
1053	2	14
1817	2	14
89	2	14
357	2	14
1338	2	14
395	2	14
747	2	14
23	2	14
12	2	14
169	2	14
2335	2	13
87	2	13
162	2	13
157	2	13
1575	2	13
2352	2	13
3220	2	13
1357	2	13
135	2	13
1366	2	13
3690	2	13
756	2	13
48	2	13
645	2	13
189	2	13
1838	2	13
2327	2	13
1359	2	13
3555	2	13
3609	2	13
2320	2	13
124	2	13
173	2	13
1547	2	13
1836	2	13
172	2	13
1833	2	13
106	2	13
702	2	13
1455	2	13
3584	2	13
1831	2	13
241	2	13
3104	2	13
640	2	13
319	2	13
954	2	13
884	2	13
631	2	13
2299	2	13
701	2	13
227	2	13
751	2	13
2290	2	13
655	2	13
876	2	13
6	2	13
1042	2	13
2292	2	12
57	2	12
289	2	12
86	2	12
71	2	12
649	2	12
3327	2	12
719	2	12
1378	2	12
218	2	12
18	2	12
308	2	12
3274	2	12
1335	2	12
344	2	12
335	2	12
294	2	12
153	2	12
1374	2	12
96	2	12
434	2	12
3568	2	12
752	2	12
11	2	12
1852	2	12
1183	2	12
1063	2	12
1559	2	12
987	2	12
3519	2	12
202	2	12
975	2	12
1062	2	12
288	2	12
453	2	12
3572	2	12
3202	2	12
1843	2	12
2052	2	12
1362	2	12
3180	2	12
287	2	12
2262	2	12
110	2	12
1842	2	12
773	2	12
3131	2	12
1058	2	12
2331	2	12
690	2	12
1549	2	12
1059	2	12
285	2	12
204	2	12
1358	2	12
1458	2	12
2314	2	12
134	2	12
1834	2	12
9	2	12
3610	2	12
1814	2	12
3126	2	12
1835	2	12
295	2	12
265	2	12
2310	2	12
39	2	12
1128	2	12
1146	2	12
2307	2	12
330	2	12
26	2	12
754	2	12
2305	2	12
3471	2	12
1789	2	12
1522	2	12
62	2	12
936	2	12
99	2	12
52	2	12
2297	2	12
3086	2	12
1273	2	12
226	2	12
1347	2	12
74	2	12
2294	2	12
393	2	12
3042	2	12
2284	2	12
1535	2	12
882	2	12
7	2	12
198	2	12
2289	2	12
10	2	12
1815	2	12
61	2	12
94	2	12
700	2	12
1523	2	12
1168	2	12
748	2	12
875	2	12
32	2	9
2	4	19
2	91	19
2	5	19
2	206	17
2	122	17
2	286	17
2	102	17
2	33	16
2	55	16
2	141	16
2	119	16
2	350	16
2	332	16
2	42	16
2	31	16
2	1337	16
2	169	16
2	104	15
2	817	15
2	207	15
2	973	15
2	346	15
2	92	15
2	972	15
2	1361	15
2	1546	15
2	508	15
2	196	15
2	1544	15
2	1055	15
2	491	15
2	2279	15
2	878	15
2	35	15
2	258	15
2	18	14
2	290	14
2	890	14
2	459	14
2	29	14
2	556	14
2	1848	14
2	135	14
2	1557	14
2	114	14
2	30	14
2	889	14
2	261	14
2	189	14
2	1554	14
2	3773	14
2	1360	14
2	970	14
2	1358	14
2	1060	14
2	1355	14
2	41	14
2	492	14
2	330	14
2	123	14
2	1823	14
2	620	14
2	1035	14
2	753	14
2	1053	14
2	701	14
2	1817	14
2	89	14
2	395	14
2	23	14
2	12	14
2	87	13
2	162	13
2	157	13
2	589	13
2	246	13
2	3253	13
2	1575	13
2	3558	13
2	3703	13
2	2352	13
2	637	13
2	1173	13
2	524	13
2	288	13
2	1362	13
2	2345	13
2	3690	13
2	80	13
2	3687	13
2	645	13
2	161	13
2	1838	13
2	20	13
2	243	13
2	1359	13
2	3555	13
2	2320	13
2	173	13
2	1547	13
2	1833	13
2	106	13
2	968	13
2	885	13
2	1831	13
2	640	13
2	2305	13
2	1789	13
2	1522	13
2	62	13
2	936	13
2	631	13
2	2299	13
2	1174	13
2	751	13
2	2294	13
2	393	13
2	2290	13
2	1535	13
2	357	13
2	1338	13
2	747	13
2	1815	13
2	6	13
2	28	13
2	3514	13
2	1346	13
2	289	12
2	86	12
2	71	12
2	3327	12
2	719	12
2	649	12
2	1378	12
2	308	12
2	3274	12
2	1335	12
2	344	12
2	294	12
2	3259	12
2	1374	12
2	96	12
2	2902	12
2	3568	12
2	11	12
2	752	12
2	1852	12
2	1183	12
2	3220	12
2	1559	12
2	1357	12
2	3519	12
2	202	12
2	3197	12
2	975	12
2	1062	12
2	453	12
2	3202	12
2	3199	12
2	1366	12
2	432	12
2	2052	12
2	3180	12
2	287	12
2	2262	12
2	756	12
2	48	12
2	110	12
2	1842	12
2	2335	12
2	773	12
2	3131	12
2	1058	12
2	2331	12
2	2333	12
2	3153	12
2	690	12
2	2327	12
2	1549	12
2	1059	12
2	285	12
2	2330	12
2	204	12
2	3609	12
2	1458	12
2	2314	12
2	26	12
2	1836	12
2	134	12
2	1834	12
2	172	12
2	124	12
2	814	12
2	9	12
2	3610	12
2	1814	12
2	3126	12
2	1835	12
2	295	12
2	265	12
2	702	12
2	1455	12
2	3584	12
2	241	12
2	3104	12
2	2310	12
2	319	12
2	39	12
2	1128	12
2	1146	12
2	2307	12
2	954	12
2	754	12
2	3471	12
2	884	12
2	99	12
2	52	12
2	2297	12
2	3086	12
2	227	12
2	1273	12
2	226	12
2	1347	12
2	74	12
2	2284	12
2	882	12
2	7	12
2	198	12
2	2289	12
2	10	12
2	655	12
2	61	12
2	876	12
2	94	12
2	700	12
2	1523	12
2	1042	12
2	115	12
2	748	12
2	3048	12
2	875	12
2	171	10
2	3782	1
96	3	21
214	3	21
478	3	21
301	3	21
38	3	21
380	3	21
147	3	21
3781	3	20
39	3	20
311	3	20
30	3	19
130	3	19
858	3	18
436	3	18
22	3	18
36	3	18
135	3	17
24	3	17
8	3	17
776	3	17
1397	3	17
16	3	16
76	3	16
1444	3	16
1008	3	16
422	3	16
509	3	16
64	3	16
419	3	16
62	3	16
223	3	16
3760	3	16
15	3	16
310	3	16
561	3	16
222	3	16
1229	3	16
73	3	16
53	3	16
112	3	16
118	3	16
682	3	15
230	3	15
1238	3	15
71	3	15
566	3	15
507	3	15
138	3	15
465	3	15
533	3	15
1084	3	15
235	3	15
770	3	15
149	3	15
105	3	15
560	3	15
767	3	15
120	3	15
167	3	15
1269	3	14
158	3	14
176	3	14
1263	3	14
577	3	14
3453	3	14
1002	3	14
366	3	14
1106	3	14
660	3	14
273	3	14
653	3	14
909	3	14
1090	3	14
1400	3	14
83	3	14
530	3	14
236	3	14
269	3	14
44	3	14
500	3	14
709	3	14
90	3	14
582	3	13
1701	3	13
3355	3	13
94	3	13
21	3	13
20	3	13
10	3	13
46	3	13
155	3	13
732	3	13
355	3	13
1677	3	13
1009	3	13
3774	3	13
780	3	13
2016	3	13
2001	3	13
571	3	13
201	3	13
663	3	13
1635	3	13
180	3	13
325	3	13
340	3	13
537	3	13
87	3	13
1232	3	13
110	3	13
2491	3	13
535	3	13
1620	3	13
1414	3	13
322	3	13
1610	3	13
608	3	13
352	3	13
365	3	13
847	3	13
1601	3	13
364	3	13
248	3	13
418	3	13
840	3	13
467	3	13
192	3	13
916	3	13
249	3	13
98	3	13
1815	3	12
2102	3	12
2404	3	12
393	3	12
226	3	12
395	3	12
410	3	12
1053	3	12
806	3	12
177	3	12
66	3	12
1037	3	12
488	3	12
346	3	12
37	3	12
264	3	12
2200	3	12
360	3	12
1294	3	12
1736	3	12
1138	3	12
385	3	12
139	3	12
116	3	12
726	3	12
2000	3	12
448	3	12
1107	3	12
1641	3	12
1108	3	12
917	3	12
2510	3	12
569	3	12
715	3	12
312	3	12
717	3	12
1614	3	12
1217	3	12
1085	3	12
2484	3	12
108	3	12
3747	3	12
1087	3	12
534	3	12
2466	3	12
2467	3	12
2464	3	12
400	3	12
771	3	12
2453	3	12
772	3	12
710	3	12
3728	3	12
841	3	12
152	3	12
2441	3	12
839	3	12
2438	3	12
378	3	12
1907	3	12
511	3	12
250	3	12
1086	3	12
1908	3	12
445	3	12
531	3	12
1208	3	12
438	3	12
9	3	12
3	301	17
3	3730	17
3	167	17
3	76	16
3	422	16
3	380	16
3	62	16
3	149	16
3	310	16
3	22	16
3	147	16
3	561	16
3	44	16
3	130	16
3	500	16
3	39	16
3	90	16
3	53	16
3	118	16
3	311	16
3	625	15
3	135	15
3	30	15
3	16	15
3	682	15
3	73	15
3	478	15
3	38	15
3	1238	15
3	1108	15
3	509	15
3	776	15
3	64	15
3	507	15
3	533	15
3	419	15
3	3579	15
3	436	15
3	15	15
3	222	15
3	105	15
3	1229	15
3	36	15
3	1269	14
3	158	14
3	24	14
3	176	14
3	10	14
3	20	14
3	214	14
3	1677	14
3	1444	14
3	577	14
3	1008	14
3	571	14
3	201	14
3	96	14
3	1107	14
3	1106	14
3	1397	14
3	566	14
3	273	14
3	653	14
3	660	14
3	465	14
3	909	14
3	1090	14
3	1601	14
3	364	14
3	840	14
3	83	14
3	378	14
3	250	14
3	916	14
3	269	14
3	560	14
3	709	14
3	120	14
3	112	14
3	582	13
3	1701	13
3	94	13
3	1690	13
3	488	13
3	2200	13
3	360	13
3	46	13
3	8	13
3	385	13
3	139	13
3	3505	13
3	1263	13
3	355	13
3	2023	13
3	726	13
3	1009	13
3	780	13
3	2016	13
3	2001	13
3	3453	13
3	663	13
3	1002	13
3	366	13
3	180	13
3	1633	13
3	325	13
3	537	13
3	87	13
3	1232	13
3	71	13
3	1614	13
3	535	13
3	1620	13
3	1414	13
3	322	13
3	1610	13
3	1087	13
3	608	13
3	1084	13
3	235	13
3	144	13
3	365	13
3	770	13
3	710	13
3	379	13
3	152	13
3	418	13
3	467	13
3	192	13
3	236	13
3	249	13
3	767	13
3	438	13
3	98	13
3	1815	12
3	2102	12
3	3355	12
3	2404	12
3	226	12
3	395	12
3	410	12
3	1053	12
3	806	12
3	2996	12
3	177	12
3	66	12
3	1037	12
3	520	12
3	346	12
3	1321	12
3	264	12
3	2867	12
3	1024	12
3	1294	12
3	1736	12
3	1138	12
3	155	12
3	34	12
3	2739	12
3	732	12
3	25	12
3	2708	12
3	116	12
3	858	12
3	2000	12
3	1635	12
3	1641	12
3	917	12
3	2510	12
3	340	12
3	569	12
3	715	12
3	312	12
3	717	12
3	110	12
3	2491	12
3	1217	12
3	1085	12
3	2484	12
3	108	12
3	138	12
3	534	12
3	2466	12
